Image,PSNR
frame_0000.jpg,46.91202958616926
frame_0001.jpg,47.06163665109755
frame_0002.jpg,32.089212711797025
frame_0003.jpg,32.09212636793862
frame_0004.jpg,31.572419280780277
frame_0005.jpg,31.516020488083207
frame_0006.jpg,31.327122259070812
frame_0007.jpg,31.38930490796222
frame_0008.jpg,31.143063673466578
frame_0009.jpg,31.201275291317017
frame_0010.jpg,31.187612367351186
frame_0011.jpg,31.176111559400436
frame_0012.jpg,31.362087814740633
frame_0013.jpg,31.82340928312318
frame_0014.jpg,32.22395130489522
frame_0015.jpg,32.21523643688232
frame_0016.jpg,32.47183227030905
frame_0017.jpg,32.32458052890777
frame_0018.jpg,32.51237929490361
frame_0019.jpg,32.729671261945704
frame_0020.jpg,32.777600601059675
frame_0021.jpg,33.90001752909698
frame_0022.jpg,33.94115614264976
frame_0023.jpg,30.57163114984293
frame_0024.jpg,34.645745384128965
frame_0025.jpg,35.288135514421235
frame_0026.jpg,34.90618281018061
frame_0027.jpg,34.1931933535397
frame_0028.jpg,33.347393203808494
frame_0029.jpg,33.11013246252961
frame_0030.jpg,32.907424263784876
frame_0031.jpg,33.21740552360805
frame_0032.jpg,33.10552459648009
frame_0033.jpg,33.15531354416053
frame_0034.jpg,30.72639629672333
frame_0035.jpg,33.23815895097992
frame_0036.jpg,33.995067333976976
frame_0037.jpg,34.27917712163155
frame_0038.jpg,34.987094426410124
frame_0039.jpg,30.867245732163276
frame_0040.jpg,30.95680543912728
frame_0041.jpg,31.047931744388944
frame_0042.jpg,31.112564672136287
frame_0043.jpg,31.246071028013983
